,Gu,Dong,Name,Date,Price,Area,Floor,건축년도,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption
3060,마포구,합정동,마포한강2차푸르지오,20240112,180000,110.88,5.0,2016.0,마포구 합정동 0473-0000,2024,202401,3.5,58.5,16297,0.049947843161318034,0.09007792845308953,0.3637479290666994,0.342701110633859,0.15352518868503406,7.625313276334186
3061,마포구,공덕동,마포현대,20240112,102500,84.87,2.0,1988.0,마포구 공덕동 0188-0108,2024,202401,3.5,58.5,25605,0.08666276117945713,0.09697324741261472,0.29634836945909004,0.3773872290568248,0.1426283928920133,7.625313276334186
3062,송파구,가락동,가락현대투웰브(101동),20240112,85000,105.02,5.0,2005.0,송파구 가락동 0198-0009,2024,202401,3.5,58.5,83807,0.10534919517462742,0.10979989738327348,0.2525922655625425,0.39019413652797497,0.1420645053515816,7.869572645979376
3063,노원구,상계동,상계주공7(고층),20240112,62000,59.39,8.0,1988.0,노원구 상계동 0691-0000,2024,202401,3.5,58.5,197373,0.07556758016547349,0.11627223581746236,0.21732455807025278,0.40607377908832515,0.1847618468584862,6.329893617879786
3064,노원구,중계동,건영3,20240112,101000,84.9,5.0,1995.0,노원구 중계동 0360-0015,2024,202401,3.5,58.5,100880,0.08804520222045996,0.16444290245836637,0.15537272006344172,0.42939135606661377,0.16274781919111816,6.329893617879786
3065,송파구,장지동,송파더센트레,20240112,84000,51.77,18.0,2013.0,송파구 장지동 0879-0000,2024,202401,3.5,58.5,43131,0.15425100275903642,0.13315248892907652,0.20632491711298137,0.3880039878509657,0.11826760334794,7.869572645979376
3066,강남구,대치동,한보미도맨션1,20240112,350000,128.01,5.0,1983.0,강남구 대치동 0511-0000,2024,202401,3.5,58.5,80548,0.10263445399016735,0.18747827382430352,0.16247454933704128,0.4265406962308189,0.12085961166012812,8.944714059811606
3067,노원구,상계동,보람아파트,20240112,37200,44.33,13.0,1988.0,노원구 상계동 0639-0000,2024,202401,3.5,58.5,197373,0.07556758016547349,0.11627223581746236,0.21732455807025278,0.40607377908832515,0.1847618468584862,6.329893617879786
3068,성북구,종암동,아이파크종암동1차,20240112,67000,59.73,1.0,2004.0,성북구 종암동 0130-0000,2024,202401,3.5,58.5,37609,0.08051264325028584,0.1336648142731793,0.2102422292536361,0.3952245473158021,0.1803557659070967,6.243843158944652
3069,송파구,가락동,가락(1차)쌍용아파트,20240112,133000,84.69,14.0,1997.0,송파구 가락동 0140-0000,2024,202401,3.5,58.5,83807,0.10534919517462742,0.10979989738327348,0.2525922655625425,0.39019413652797497,0.1420645053515816,7.869572645979376
3070,동작구,신대방동,보라매자이더포레스트,20240112,107500,59.94,17.0,2021.0,동작구 신대방동 0724-0000,2024,202401,3.5,58.5,45337,0.08443434722191588,0.12274742484063789,0.26106711957121115,0.37335950768687826,0.15839160067935681,6.3183700971323
3071,송파구,가락동,가락(1차)쌍용아파트,20240112,105500,59.92,17.0,1997.0,송파구 가락동 0140-0000,2024,202401,3.5,58.5,83807,0.10534919517462742,0.10979989738327348,0.2525922655625425,0.39019413652797497,0.1420645053515816,7.869572645979376
3072,마포구,중동,중동계룡아파트,20240112,69000,60.0,2.0,2000.0,마포구 중동 0391-0000,2024,202401,3.5,58.5,9701,0.08875373672817236,0.15524172765694258,0.20152561591588497,0.41377177610555615,0.14070714359344397,7.625313276334186
3073,관악구,봉천동,서울대입구한양아이클래스,20240111,17500,15.53,12.0,2018.0,관악구 봉천동 1568-0001,2024,202401,3.5,58.5,221702,0.05440185474195091,0.11782031736294665,0.34555845233692073,0.32166150959395945,0.16055786596422225,6.374571906375385
3074,도봉구,창동,창동주공3단지(해등마을),20240111,60000,66.56,13.0,1990.0,도봉구 창동 0347-0000,2024,202401,3.5,58.5,115486,0.06901269417938105,0.11223005385934226,0.21670159153490468,0.4111147671579239,0.1909322342102073,5.796132823935153
3075,노원구,상계동,보람아파트,20240111,46000,54.59,14.0,1988.0,노원구 상계동 0639-0000,2024,202401,3.5,58.5,197373,0.07556758016547349,0.11627223581746236,0.21732455807025278,0.40607377908832515,0.1847618468584862,6.329893617879786
3076,서초구,서초동,신동아아파트(2차),20240111,295000,166.1,8.0,1979.0,서초구 서초동 1334-0001,2024,202401,3.5,58.5,106161,0.09549646291952789,0.13080133005529337,0.25029907404790835,0.3829560761484914,0.14044705682877892,8.125860962031119
3077,송파구,잠실동,리센츠,20240111,230000,84.99,22.0,2008.0,송파구 잠실동 0022-0000,2024,202401,3.5,58.5,105918,0.10435431182612964,0.1360297588700693,0.2145244434373761,0.3977794142638645,0.14730263033667554,7.869572645979376
3078,광진구,자양동,광진트라팰리스,20240111,280000,169.53,24.0,2006.0,광진구 자양동 0854-0000,2024,202401,3.5,58.5,92572,0.06932981895173486,0.10706261072462515,0.26489651298448774,0.3891673508188221,0.1695329041178758,6.4299047834496745
