학교종류명,설립구분,학교명,영문학교명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,Longitude,Latitude,도로명주소,구주소,동
중학교,공립,선유중학교,Seonyoo Middle School,남여공학,,일반계,,126.8942995,37.5331735,서울특별시 영등포구 선유로 213 선유중학교,서울특별시 영등포구 양평동3가 82 선유중학교,양평동3가
중학교,사립,문일중학교,Moonil Middle School,남,,일반계,,126.8990574,37.4491498,서울특별시 금천구 시흥대로47길 45,서울특별시 금천구 시흥동 559-1,시흥동
중학교,공립,문성중학교,Munseong Middle School,남여공학,,일반계,,126.9081808,37.475188,서울특별시 금천구 독산로102길 78 문성중학교,서울특별시 금천구 독산동 61 문성중학교,독산동
중학교,공립,문래중학교,Mullae Middle School,남여공학,,일반계,,126.8840572,37.5205064,서울특별시 영등포구 선유서로13길 6 문래중학교,서울특별시 영등포구 문래동6가 44 문래중학교,문래동6가
중학교,사립,동일중학교,Dongil Middle School　,남여공학,,일반계,,126.9175391,37.4515331,서울특별시 금천구 탑골로10길 45 학교법인동일학원교사,서울특별시 금천구 시흥동 산100-4 학교법인동일학원교사,시흥동
중학교,공립,대영중학교,Daeyeong Middle School,남여공학,,일반계,,126.9047929,37.5033008,서울특별시 영등포구 도림로80가길 14 대영중학교,서울특별시 영등포구 신길동 342-49 대영중학교,신길동
중학교,공립,대림중학교,Daerim Middle School,남여공학,,일반계,,126.9072752,37.492413,서울특별시 영등포구 시흥대로185길 6 대림중학교,서울특별시 영등포구 대림동 959 대림중학교,대림동
중학교,공립,당산중학교,Dangsan Middle School,남여공학,,일반계,,126.9075043,37.5322302,서울특별시 영등포구 버드나루로 160 당산중학교,서울특별시 영등포구 당산동 121 당산중학교,당산동
중학교,공립,당산서중학교,Dangsanseo Middle School,남여공학,,일반계,,126.8982927,37.53218,서울특별시 영등포구 당산로41길 12 당산서중학교,서울특별시 영등포구 당산동5가 5 당산서중학교,당산동5가
중학교,공립,난곡중학교,Nangok Middle School,남여공학,,일반계,,126.9109834,37.4779273,서울특별시 금천구 문성로 67 난곡중학교,서울특별시 금천구 독산동 906-41 난곡중학교,독산동
중학교,공립,구일중학교,Guil Middle School,남여공학,,일반계,,126.8741836,37.495168,서울특별시 구로구 구일로 90-133 구일중학교,서울특별시 구로구 구로동 685-161 구일중학교,구로동
중학교,공립,구로중학교,Guro Middle School,남여공학,,일반계,,126.8903445,37.4947434,서울특별시 구로구 구로중앙로 48 구로중학교,서울특별시 구로구 구로동 90 구로중학교,구로동
중학교,공립,고척중학교,Gocheok Middle School,남여공학,,일반계,,126.8621596,37.5003254,서울특별시 구로구 중앙로3길 20 고척중학교,서울특별시 구로구 고척동 76-2 고척중학교,고척동
중학교,공립,경인중학교,Kyeongin Middle School,남여공학,,일반계,,126.8546729,37.4982089,서울특별시 구로구 경인로 301 경인중학교,서울특별시 구로구 개봉동 143-4 경인중학교,개봉동
중학교,공립,개웅중학교,Kaewoong Middle School,남여공학,,일반계,,126.8510735,37.4874937,서울특별시 구로구 개봉로11길 81 개웅중학교,서울특별시 구로구 개봉동 273-15 개웅중학교,개봉동
중학교,공립,개봉중학교,Gaebong Middle School,남여공학,,일반계,,126.8421844,37.5028673,서울특별시 구로구 고척로21나길 68 개봉중학교,서울특별시 구로구 개봉동 24-2 개봉중학교,개봉동
중학교,공립,가산중학교,Gasan Middle School,남여공학,,일반계,,126.8943448,37.4689053,서울특별시 금천구 시흥대로115길 48,서울특별시 금천구 독산동 300-21,독산동
초등학교,공립,서울탑동초등학교,Seoul Topdong Elementary School,남여공학,,일반계,,126.9147558,37.4529246,서울특별시 금천구 탑골로 47-3 탑동초등학교,서울특별시 금천구 시흥동 230 탑동초등학교,시흥동
초등학교,공립,서울정심초등학교,Seoul Jungshim Elementary School,남여공학,,일반계,,126.9084184,37.4716719,서울특별시 금천구 독산로78다길 89 정심초등학교,서울특별시 금천구 독산동 182-44 정심초등학교,독산동
초등학교,공립,서울윤중초등학교,Seoul Yunjung Elementary School,남여공학,,일반계,,126.9230156,37.5199238,서울특별시 영등포구 여의나루로2길 14 윤중초등학교,서울특별시 영등포구 여의도동 38 윤중초등학교,여의도동
초등학교,공립,서울우신초등학교,Seoul Usin Elementary School,남여공학,,일반계,,126.9118545,37.5098583,서울특별시 영등포구 신길로 190 서울우신초등학교,서울특별시 영등포구 신길동 210 서울우신초등학교,신길동
초등학교,공립,서울온수초등학교,Seoul Onsu Elementary School,남여공학,,일반계,,126.8259125,37.4941929,서울특별시 구로구 부일로 893 온수초등학교,서울특별시 구로구 온수동 9-34 온수초등학교,온수동
초등학교,공립,서울오정초등학교,Seoul Ojeong Elementary School,남여공학,,일반계,,126.8266384,37.4893596,서울특별시 구로구 경인로2길 10 서울오정초등학교,서울특별시 구로구 오류동 108-28 서울오정초등학교,오류동
초등학교,공립,서울오류초등학교,Seoul Oryu Elementary School,남여공학,,일반계,,126.8423491,37.4983753,서울특별시 구로구 경인로19길 39 서울오류초등학교,서울특별시 구로구 오류동 13-3 서울오류초등학교,오류동
초등학교,공립,서울오류남초등학교,Seoul Oryunam Elementary School,남여공학,,일반계,,126.8385122,37.4896598,서울특별시 구로구 서해안로24길 22 오류남초등학교,서울특별시 구로구 오류동 191-1 오류남초등학교,오류동
초등학교,공립,서울영중초등학교,Seoul Youngjoong Elementary School,남여공학,,일반계,,126.9039299,37.5237979,서울특별시 영등포구 양산로 185 서울영중초등학교,서울특별시 영등포구 영등포동7가 53 서울영중초등학교,영등포동7가
초등학교,공립,서울영일초등학교,Seoul Young-il Elementary School,남여공학,,일반계,,126.8837829,37.4853862,서울특별시 구로구 남부순환로105길 218 영일초등학교,서울특별시 구로구 가리봉동 17 영일초등학교,가리봉동
초등학교,공립,서울영원초등학교,Seoul Youngwon Elementary School,남여공학,,일반계,,126.9021179,37.5107497,서울특별시 영등포구 도영로22길 31 영원초등학교,서울특별시 영등포구 영등포동 647-2 영원초등학교,영등포동
초등학교,공립,서울영신초등학교,Seoul Yeongsin Elementary School,남여공학,,일반계,,126.917937,37.51005,서울특별시 영등포구 도신로60길 23 영신초등학교,서울특별시 영등포구 신길동 121 영신초등학교,신길동
초등학교,공립,서울영서초등학교,Seoul Youngseo Elementary School,남여공학,,일반계,,126.8947321,37.4883984,서울특별시 구로구 도림로20길 57 서울영서초등학교,서울특별시 구로구 구로동 165-1 서울영서초등학교,구로동
초등학교,공립,서울영문초등학교,Seoul YoungMoon Elementary School,남여공학,,해당없음,,126.8875941,37.5197149,서울특별시 영등포구 문래로 56 영문초등학교,서울특별시 영등포구 문래동6가 13 영문초등학교,문래동6가
초등학교,공립,서울영림초등학교,Seoul Yeongrim Elementary School,남여공학,,일반계,,126.902531,37.4872863,서울특별시 영등포구 시흥대로173길 14 영림초등학교,서울특별시 영등포구 대림동 993-16 영림초등학교,대림동
초등학교,공립,서울영등포초등학교,Seoul Yeongdeungpo Elementary School,남여공학,,일반계,,126.8982,37.5128845,서울특별시 영등포구 경인로 756 영등포초등학교,서울특별시 영등포구 문래동1가 35-2 영등포초등학교,문래동1가
초등학교,공립,서울영동초등학교,Seoul Yeongdong Elementary School,남여공학,,일반계,,126.9076001,37.5269133,서울특별시 영등포구 국회대로53길 20 영동초등학교,서울특별시 영등포구 당산동 121-22 영동초등학교,당산동
초등학교,공립,서울영남초등학교,Seoul Yeongnam Elementary School,남여공학,,일반계,,126.9099306,37.4757797,서울특별시 금천구 문성로 62-15 서울영남초등학교,서울특별시 금천구 독산동 59-27 서울영남초등학교,독산동
초등학교,공립,서울여의도초등학교,Seoul Yeouido Elementary School,남여공학,,일반계,,126.9368017,37.5231903,서울특별시 영등포구 여의대방로 439 여의도초등학교,서울특별시 영등포구 여의도동 40-3 여의도초등학교,여의도동
